unit_idx,status,modelo_n,gold,modelo,frase
18,TP,2,desaprobacion (Milei->intervencionistas) [infer],alegria;ira,"Naturalmente si le hubiéramos prestado atención a los intervencionistas, hoy, en"
26,TP,1,desaprobacion (Milei->Estado) [infer],ira,"Y si los intercambios no son voluntarios, no hay lugar para la presencia intrusi"
32,TP,1,desaprobacion (Milei->socialismo) [infer],ira,Y esto muestra por qué el socialismo en ninguna de sus vertientes puede funciona
33,TP,2,desaprobacion (Milei->Estado) [infer],ira,"Y, en segundo lugar, las versiones más light que permiten la existencia del sect"
37,TP,1,certeza (Milei) [infer] (conf-baja) | satisfaccion (Milei) [infer] (conf-baja) | desaprobacion (Milei->socialismo) [infer],asco,"Y esto combinado con la idea de combinación social, termina siendo absolutamente"
38,TP,1,odio (vendedor generico) [expl/HIPOTETICO],ira,"Una es: Yo podría estar odiando a él, pero necesito que el compre mi producto, p"
41,TP,2,certeza (Milei) [infer] (conf-baja) | satisfaccion (Milei) [infer] (conf-baja) | desaprobacion (Milei->socialismo) [infer],alegria;hostil,"Y al mismo tiempo, del mercado como proceso de cooperación social es una tremend"
43,TP,1,certeza (Milei) [infer] (conf-baja) | admiracion/aprecio (Milei->empresarios) [infer],aprobacion,"Al mismo tiempo, es importante señalar, en la lógica del mercado, un empresario "
45,TP,1,certeza (Milei) [infer] (conf-baja) | admiracion/aprecio (Milei->empresarios) [infer],amor,"Y por ende, los empresarios, son benefactores sociales porque nos brindan bienes"
46,TP,2,certeza (Milei) [infer] (conf-baja) | admiracion/aprecio (Milei->empresarios) [infer] | admiracion/aprecio (audiencia->empresarios) [infer/POTENCIAL] (conf-baja),amor,"Por lo tanto, abracemos a los empresarios que son la base de la prosperidad."
51,TP,1,satisfaccion/optimismo (Milei) [infer],alegria,"Es decir, que aumentó la productividad per cápita y, además, el PBI aumentó cerc"
52,TP,1,desaprobacion (Milei->Estado) [infer],ira,"Todo esto, a pesar de la existencia del Estado."
55,TP,1,desaprobacion (Milei->teoria neoclasica) [infer] | aprobacion (Milei->monopolios) [infer] (conf-baja) | desaprobacion (la teoria neoclasica) [infer] (conf-baja),escepticism,"Entonces, la pregunta es: si se generó tanto bienestar ¿Por qué la teoría neoclá"
56,TP,1,desaprobacion (Milei->analisis neoclasico) [infer],ira,"Y en realidad, como diría Murray Newton Rothbard, el inventor del anarco capital"
59,TP,1,desaprobacion (Milei->teoria neoclasica) [infer],ira,"Por lo tanto, fuera la teoría neoclásica."
64,TP,3,satisfaccion/orgullo (Milei/nosotros) [infer] | desaprobacion (Milei->socialismo) [infer],alegria;asco;ira,"Es más, festejamos nuestras diferencias porque no nos gusta la uniformidad gris "
65,TP,1,desaprobacion/rechazo (Milei->analisis) [infer],asco,Pero no solo está mal por ser un análisis de equilibrio parcial que no considera
66,TP,1,admiracion/aprecio (Milei->Hazlitt) [infer],amor,"De hecho, esto me hace recordar un hermoso libro de un economista y pensador ame"
67,TP,1,desaprobacion (Milei) [infer],ira,"Por lo tanto, esto estaría mostrando que el análisis tradicional del monopolio y"
78,TP,1,desaprobacion (Milei->analisis neoclasico) [infer],ira,"Sin embargo, el análisis neoclásico trabaja a las firmas como si fueran máquina "
80,TP,1,satisfaccion (Milei) [infer] (conf-baja) | irritacion (keynesianos) [sost/POTENCIAL],ira,Ahora vamos a hacer un par de casos que irriten más a los keynesianos.
84,TP,1,ambicion (monopolista) [expl],ambicion,O supongamos que este monopolista es tan ambicioso que quiere invertir todo en s
93,TP,2,desaprobacion (Milei) [infer] | preocupacion (Milei) [infer] (conf-baja) | certeza (Milei) [infer] (conf-baja),ira;sufri,"Por lo tanto, todo lo que acabamos de ver es que todos los análisis que justific"
94,TP,1,desaprobacion/indignacion (Milei->intervencion socialista) [infer] | certeza (Milei) [infer] (conf-baja),ira,"Por lo tanto, para cerrar esta presentación, voy a mostrar como la intervención "
102,TP,1,desaprobacion (Milei) [infer],ira,Al margen de que regular precios y cantidades implica destruir el derecho de pro
104,TP,1,preocupacion (Milei) [infer] | tristeza (Milei) [infer] (conf-baja),ira,Un país que entró al siglo XX siendo uno de los países más ricos del mundo y que
107,TP,2,desaprobacion/indignacion (Milei->corrupción) [infer] | optimismo (argentinos) [sost/POTENCIAL] (conf-baja) | resistencia (los beneficiarios de este sistema decadente) [expl],confianza;ira,"Y de hecho, nuestras dos grandes pedidos de medidas, de reformas estructurales, "
108,TP,2,indignacion (Milei) [infer],ansiedad;ira,que empobrece a los argentinos de bien en favor de la casta corrupta.
109,TP,2,indignacion (Milei->casta corrupta) [infer] | enojo (medios de comunicacion corruptos) [expl],ira,"Donde la casta corrupta se compone de políticos ladrones, que ponen sus privileg"
110,TP,1,indignacion (Milei) [infer],ira,y además por aquellos profesionales que son funcionales a la religión del Estado
111,TP,2,determinacion (Milei/nosotros) [infer],concientizacion/sorpres;confianza,"Por lo tanto, tomarán conciencia de la gran pelea que estamos dando."
112,TP,2,determinacion (Milei/nosotros) [infer] | esperanza (Milei/nosotros) [infer] | esperanza (Argentina) [sost/POTENCIAL] (conf-baja),confianza;esperanza,Pero no nos vamos a rendir en volver a hacer Argentina grande nuevamente.
113,TP,1,preocupacion (Milei) [infer] | desaprobacion (Milei->socialistas) [infer] | aprobación (socialistas->altruismo socialista) [infer] (conf-baja) | altruismo (socialistas) [expl/VIRTUAL] (conf-baja),ira,La otra gran amenaza por donde atacan los socialistas y el estatismo es básicame
114,TP,1,indignacion (Milei->casta) [infer],ira,Siempre con el dinero ajeno.
115,TP,1,indignacion (Milei) [infer],ira,"Y esta aberración se lleva a cabo en nombre de la justicia social, donde Hayek h"
117,TP,1,indignacion (Milei->justicia social) [infer] | admiracion (Milei->Huerta de Soto) [infer],ira,"De hecho como dice el gran Jesús Huerta de Soto, la justicia social es violenta "
118,TP,1,indignacion/desaprobacion (Milei) [infer],ira,"En primer lugar, es injusta porque implica un trato desigual frente a la ley y l"
119,TP,1,desaprobacion/indignacion (Milei) [infer],ira,Lo que hace que la justicia social además de ser violenta sea injusta.
128,TP,2,desaprobacion (Milei->politico populista) [infer] | preocupación (los ricos) [sost/POTENCIAL] (conf-baja) | esperanza (los pobres) [sost/POTENCIAL] (conf-baja),asco;ira,Y ahí es cuando aparece el político populista que dice que hay que sacarles a lo
132,TP,1,indignacion (Milei->Estado) [infer],ira,Es decir que el Estado se queda con el alimento de 280 millones de seres humanos
133,TP,2,indignacion (Milei->Estado) [infer] | frustracion (5 millones de argentinos) [sost] (conf-baja),ansiedad;ira,"A pesar de ello, hay 5 millones de argentinos que no les alcanza para comer grac"
140,TP,1,satisfaccion/conviccion (Milei) [infer],alegria,"Por lo tanto, ahora el sistema no solo que es más productivo, sino que además es"
141,TP,2,satisfaccion/triunfo (Milei) [infer] | frustracion (socialistas) [sost] (conf-baja),alegria;decepcion,Y la verdad es que digamos todo esto a los socialistas los tenemos más que en ja
143,TP,1,indignacion (Milei) [infer] | miedo (audiencia) [sost/POTENCIAL],ira,Y ese estancamiento dado el crecimiento de la población lleva al empobrecimiento
144,TP,2,indignacion (Milei) [infer] | miedo (audiencia) [sost/POTENCIAL] (conf-baja) | miedo (judios) [sost] (conf-baja),ira,Una agenda asesina que podemos encontrar sus orígenes ya con los egipcios intent
147,TP,1,indignacion (Milei) [infer],ira,"Y en base a eso, hoy habiéndose desclasificado los archivos de Nixon y Kissinger"
148,TP,1,satisfaccion/alivio (Milei) [infer],alegria,Pero afortunadamente se equivocaron de nuevo porque hoy en el mundo viven 8 mil 
149,TP,2,indignacion (Milei) [infer] | preocupacion (Milei) [infer] | desaprobacion (postmarxismo/ecologismo) [infer] (conf-baja),decepcion;ira,"Sin embargo, no cesan esa agenda asesina, de hecho, el postmarxismo frente a su "
150,TP,2,desaprobacion/indignacion (Milei) [infer],ira;miedo,cuando esto ya ha pasado cuatros veces en la historia del planeta tierra y no vi
151,TP,2,desaprobacion (Milei) [infer] | optimismo (Milei) [infer] (conf-baja) | certeza (Milei) [infer] (conf-baja),esperanza;ira,"De hecho, todos esos análisis en contra del crecimiento de la población son fals"
154,TP,2,desaprobacion (Milei->socialismo) [infer] | indignacion (Milei->agenda asesina) | determinacion (audiencia) [sost/POTENCIAL],ira;miedo,"En definitiva, el mensaje es el siguiente: no dejen avanzar al socialismo, no av"
155,TP,2,determinacion (audiencia) [sost/POTENCIAL] | preocupacion/miedo (audiencia) [sost/POTENCIAL],confianza;miedo,"Por lo tanto, no entreguen su libertad, peleen por su libertad, porque si no pel"
156,TP,3,esperanza/optimismo (Milei/audiencia) [expl] | frustracion (Argentina) [infer] (conf-baja),confianza;esperanza;resigna,"Pero quiero dejarles también un mensaje de optimismo, Argentina parecía un país "
157,TP,2,entusiasmo (Milei) [infer] | orgullo (Milei) [infer] | esperanza (Milei) [infer],coraj;esperanza,"Y fue así que cada día despertamos más leones y el mensaje de la libertad, no so"
158,TP,2,entusiasmo (Milei) [infer] | entusiasmo (audiencia) [sost/POTENCIAL] | determinacion (audiencia) [sost/POTENCIAL],alegria;confianza,"Por lo tanto, no cedan frente a la lucha por la libertad, ¡viva la libertad cara"
159,TP,1,entusiasmo (Milei) [infer] | entusiasmo (audiencia) [sost/POTENCIAL],alegria,¡viva la libertad carajo!
