unit_idx,frase,claude_opus_4_8,claude_notas,qwen3-14b-q4_k_m,correccion_experto,ok
11,Básicamente la idea del óptimo de Pareto es que yo no puedo mejorar a alguien sin empeorar a otro.,NINGUNA,Expositiva (optimo de Pareto).,1: confianza(yo),,ok
12,"Concretamente si estoy en una situación, donde puedo mejorar a alguien y hago una mejora para alguien, sin empeorar a otro, eso se llama mejora Paretiana.",NINGUNA,Expositiva.,0: ,,ok
13,"Y obviamente, cuando esas oportunidades se agotan significa que estamos en el óptimo de Pareto.",NINGUNA,Expositiva.,0: ,,ok
14,"Y es ahí, donde aparecen las definiciones de fallos de mercados, que tienen distintos nombres; uno es las no convexidades, es decir la existencia de rendimientos crecientes, o para decirlo más popularmente, estructuras de mercados concentrados y monopolios.",NINGUNA (conf-baja),Expositiva (fallos de mercado).,1: preocupación(Javier Milei),NINGUNA,ok
15,Otros casos son las externalidades: los bienes públicos en formación asimétrica y el “Dilema de los Prisioneros”.,NINGUNA,Expositiva (externalidades).,0: ,,ok
16,"Y en realidad, todas estas definiciones tan elegantes son todos elementos que habilitan la intervención del Estado y con eso el avance de los estatistas y los socialistas.",desaprobacion (Milei) [infer],"Axiologica: la intervencion estatal/estatismo como indeseable. Postura del enunciador, no varios experienciadores.",3: desconfianza(el Estado (instituci) | desconfianza(los estatistas (cole) | desconfianza(los socialistas (col),,ok
17,"Pero para que no quede tan en abstracto voy a hacer un ejemplo aplicado: supongamos que estamos en el momento en que nos alumbrábamos con velas y todavía no había llegado Ericsson; obviamente en el momento en que aparece Ericsson con la lamparita, todos los fabricantes de velas van a la quiebra.",NINGUNA,Setup narrativo (velas).,1: desaprobación(fabricantes de velas),preocupación/angustia/desesperación/temor (fabricantes de velas) [sost] (conf-baja),ok
18,"Naturalmente si le hubiéramos prestado atención a los intervencionistas, hoy, en lugar de tener esta hermosa conferencia, con todas estas luces, seguiríamos con velas; así es como los socialistas arruinan nuestras vidas.",desaprobacion (Milei->intervencionistas) [infer],Contrafactico ironico: si se les hacia caso seguiriamos a oscuras.,2: desaprobación(Javier Milei) | desaprobación(los socialistas),,ok
19,Por suerte descartemos el óptimo de Pareto y avancemos con el progreso tecnológico.,alivio/satisfaccion (Milei) [infer] (conf-baja),Marcador 'Por suerte'.,0: ,,ok
20,"Entonces lo primero que tenemos que entender es qué es el mercado, tener una buena definición de lo qué es el mercado.",NINGUNA,Expositiva (definir mercado).,0: ,,ok
21,"En este sentido, el mercado es un proceso de cooperación social, donde se intercambian derechos de propiedad, voluntariamente.",NINGUNA (conf-baja),Expositiva (mercado = cooperacion).,0: ,NINGUNA,ok
22,De hecho – dado que los intercambios son voluntarios – no es posible hablar de fallos de mercado porque nadie estaría haciendo acciones auto flagelantes.,NINGUNA (conf-baja),Argumentativa. Satisfaccion debil del enunciador a lo sumo.,2: indignación(Javier Milei) | frustración(Javier Milei),NINGUNA,ok
23,"Por lo tanto, cuando definimos bien mercado todas las definiciones de intervención se derrumban.",satisfaccion (Milei) [infer] (conf-baja),'todas las definiciones de intervencion se derrumban': triunfo argumental.,1: indignación(Javier Milei),certeza (Milei) [infer] (conf-baja),ok
24,"Por otra parte, también es muy importante tener bien claro cuáles son las instituciones sobre las que se construye la idea del mercado.",NINGUNA,Expositiva.,1: indignación(el presidente de la ),,ok
25,"Dos instituciones muy importantes son la propiedad privada y los mercados libres de intervención estatal, porque – básicamente – si voy a estar intercambiando derechos de propiedad quiere decir que la propiedad privada es importante.",NINGUNA,Expositiva (instituciones). El modelo aca sobre-detecta 'propiedad privada' como actor.,2: indignación(Javier Milei) | agradecimiento(Javier Milei),certeza (Milei) [infer] (conf-baja),ok
26,"Y si los intercambios no son voluntarios, no hay lugar para la presencia intrusiva y violenta del Estado.",desaprobacion (Milei->Estado) [infer],'presencia intrusiva y violenta del Estado'.,1: desaprobación(el Estado (instituci),,ok
27,"En este sentido, cuando se hace un intercambio y alguien entrega un bien, a cambio de dinero, eso fija un registro histórico, llamado precio.",NINGUNA,Expositiva (precio).,0: ,,ok
28,"Y ese registro histórico, denominado precio es un mecanismo de transmisión de información, que además se transforma en un mecanismo de coordinación porque hace que – algunas personas –sean oferentes y otros sean demandantes.",NINGUNA,Expositiva (precio/info).,2: desaprobación(algunas personas) | desaprobación(otros),,ok
29,"Y como no necesariamente la cantidad demanda coincide con la ofrecida, cuando la demanda es mayor que la oferta, los precios suben y en su caso contrario bajan.",NINGUNA,Expositiva.,0: ,,ok
30,"Es decir, hay un proceso de ajuste.",NINGUNA,'proceso de ajuste'.,1: indignación(el Estado),,ok
31,"En definitiva, la propiedad privada y los mercados libres determinan el funcionamiento del sistema de precios y eso es lo que permite hacer cálculo económico.",NINGUNA,Expositiva.,0: ,certeza (Milei) [infer] (conf-baja),ok
32,"Y esto muestra por qué el socialismo en ninguna de sus vertientes puede funcionar, en el caso más extremo porque no hay propiedad privada, por lo tanto, no se pueden hacer los intercambios que requiere el mercado.",desaprobacion (Milei->socialismo) [infer],'el socialismo no puede funcionar': rechazo axiologico del enunciador.,3: desaprobación(el Estado (instituci) | desaprobación(los estatistas (cole) | desaprobación(los socialistas (col),,ok
33,"Y, en segundo lugar, las versiones más light que permiten la existencia del sector privado, la intromisión del Estado mete ruido en el sistema de precios, y cuanto más Estado hay, más violencia hay, más distorsión hay y peor funciona el sistema.",desaprobacion (Milei->Estado) [infer],'la intromision del Estado mete ruido'.,2: desaprobación(el Estado (instituci) | aprobación(el sector privado (c),,ok
34,"Otra de las instituciones importantes para los mercados es lo que se llama la libre competencia, pero no en el sentido neoclásico de la competencia perfecta, sino en términos de entrada y salida.",NINGUNA (conf-baja),Expositiva (libre competencia).,1: indiferencia(la libre competencia),NINGUNA,ok
35,Y por otra parte hay dos instituciones que son muy importantes que son la división del trabajo y la cooperación social.,NINGUNA,Expositiva (division del trabajo / cooperacion social).,0: ,,ok
36,"La división del trabajo quién mejor la explicó fue Adam Smith: una persona sola podía producir solamente 20 alfileres, pero si se partía en quince la tarea, cada uno podía producir 5 mil alfileres, estamos hablando de 75 mil alfileres, pero cuál es el problema si no hay demanda para 75 mil alfileres, no va a haber tanta división del trabajo.",NINGUNA (conf-baja),Expositiva (Smith/alfileres). Posible aprecio debil a Smith.,2: frustración(Javier Milei) | indignación(Javier Milei),reconocimiento (Milei) [infer] (conf-baja),ok
37,"Y esto combinado con la idea de combinación social, termina siendo absolutamente destructivo para las ideas socialistas.",satisfaccion (Milei) [infer] | desaprobacion (Milei->socialismo) [infer],'absolutamente destructivo para las ideas socialistas'.,1: desaprobación(los socialistas (col),certeza (Milei) [infer] (conf-baja) | satisfaccion (Milei) [infer] (conf-baja) | desaprobacion (Milei->socialismo) [infer],ok
38,"Una es: Yo podría estar odiando a él, pero necesito que el compre mi producto, por lo tanto, inexorablemente lo tengo que dar bien.",odio (vendedor generico) [infer/HIPOTETICO],"'Yo podria estar odiando': hipotetico; experienciador NO es Milei-enunciador, modo potencial. Caso V01.",2: odio(Yo) | indignación(Yo),odio (vendedor generico) [expl/HIPOTETICO],ok
39,"Por eso, como decía Bastiat, “Donde entra el comercio, no entran las balas”.",NINGUNA (conf-baja),Cita de Bastiat. Aprecio debil.,1: indignación(Bastiat),NINGUNA,ok
40,Y promover el libre comercio es promover la paz.,NINGUNA (conf-baja),'libre comercio es paz': axiologico plano.,0: ,certeza (Milei) [infer] (conf-baja),ok
41,"Y al mismo tiempo, del mercado como proceso de cooperación social es una tremenda bomba en contra del socialismo, porque si los intercambios son libres, eso significa que las dos partes que intervienen en el intercambio, ganan los dos.",satisfaccion (Milei) [infer] | desaprobacion (Milei->socialismo) [infer],'tremenda bomba contra el socialismo'.,3: indignación(el mercado) | satisfacción(los intercambios) | satisfacción(las dos partes que i),certeza (Milei) [infer] (conf-baja) | satisfaccion (Milei) [infer] (conf-baja) | desaprobacion (Milei->socialismo) [infer],ok
42,"Por lo tanto, no hay lugar para la teoría de la explotación, no hay lugar para la plusvalía, no hay lugar para el marxismo y el socialismo.",desaprobacion (Milei->marxismo/socialismo) [infer],'no hay lugar para el marxismo y el socialismo'.,2: indignación(Javier Milei) | frustración(Javier Milei),certeza (Milei) [infer] (conf-baja) | desaprobacion (Milei->marxismo/socialismo) [infer] (conf-baja),ok
43,"Al mismo tiempo, es importante señalar, en la lógica del mercado, un empresario exitoso es un benefactor social, porque en el capitalismo de libre empresa solamente es posible ser exitoso sirviendo al prójimo con bienes de mejor calidad o de mejor precio.",admiracion/aprecio (Milei->empresarios) [infer],'empresario exitoso es benefactor social'.,2: satisfaccion(empresario exitoso) | satisfaccion(bienes),certeza (Milei) [infer] (conf-baja) | admiracion/aprecio (Milei->empresarios) [infer],ok
44,"Y si ese empresario no lo está haciendo bien, podrá aparecer otro que pueda brindar el mismo bien a un mejor precio, o el mismo precio, mejor calidad, y eso va a llevar a la quiebra a los ineficientes y va a potenciar el bienestar",NINGUNA (conf-baja),Expositiva (competencia).,2: frustración(el Estado (instituci) | satisfacción(el sector privado (c),,ok
45,"Y por ende, los empresarios, son benefactores sociales porque nos brindan bienes de mejor calidad, a un mejor precio, mientras que van creando puestos de trabajo y progreso en toda la sociedad.",admiracion/aprecio (Milei->empresarios) [infer],'empresarios son benefactores sociales'.,1: satisfaccion(los empresarios),certeza (Milei) [infer] (conf-baja) | admiracion/aprecio (Milei->empresarios) [infer],ok
46,"Por lo tanto, abracemos a los empresarios que son la base de la prosperidad.",admiracion/aprecio (Milei->empresarios) [infer],'abracemos a los empresarios'.,1: satisfaccion(empresarios),certeza (Milei) [infer] (conf-baja) | admiracion/aprecio (Milei->empresarios) [infer] | admiracion/aprecio (audiencia->empresarios) [infer/POTENCIAL] (conf-baja),ok
47,"Por lo tanto, dada esta introducción, vale la pena enfrentar, ahora, dónde está el dilema neoclásico.",NINGUNA,Transicion.,0: ,estimulacion (Milei->desafío) [infer] (conf-baja) | estimulacion (audiencia->desafío) [sost/POTENCIAL] (conf-baja),ok
48,Esto dentro de la teoría del crecimiento económico y su evidencia empírica se llama: “El palo de hockey”.,NINGUNA,'palo de hockey'.,0: ,,ok
49,"Si ustedes miran la historia, desde la era cristiana hacia adelante, el PBI per cápita entre el período en entre el año 0 y el 1800, prácticamente estuvo constante.",NINGUNA,Datos de PBI.,0: ,,ok
50,"Sin embargo, desde el año 1800 hasta aquí, se multiplicó por más de 15 veces, y en ese mismo período, la población en el año 1800 era de 800 millones de seres humanos, y hoy se ha multiplicado por 10.",satisfaccion/asombro (Milei) [infer] (conf-baja),Magnitud del crecimiento desde 1800.,1: aprobación(el presidente de la ),,ok
51,"Es decir, que aumentó la productividad per cápita y, además, el PBI aumentó cerca de 150 veces, a punto tal que estamos en el mejor momento de la historia de la humanidad.",satisfaccion/optimismo (Milei) [infer],'el mejor momento de la historia de la humanidad'.,1: satisfaccion(Javier Milei),,ok
52,"Todo esto, a pesar de la existencia del Estado.",desaprobacion (Milei->Estado) [infer],'a pesar de la existencia del Estado': pulla ironica.,1: frustración(el Estado (instituci),,ok
53,"Y en este mismo periodo de tan importante crecimiento económico, la pobreza extrema pasó del 95% de la población al 5%.",satisfaccion (Milei) [infer] (conf-baja),Pobreza extrema 95%->5%.,1: satisfaccion(la pobreza extrema),,ok
54,"Sin embargo, esta presencia de rendimientos crecientes significa que hay estructuras concentradas, es decir, que hay monopolios.",NINGUNA,Expositiva (monopolios).,0: ,,ok
55,"Entonces, la pregunta es: si se generó tanto bienestar ¿Por qué la teoría neoclásica dice que los monopolios son malos, si nos trajo tanto bienestar y tanta caída en la pobreza?",desaprobacion (Milei->teoria neoclasica) [infer],Desafio retorico: por que dice que los monopolios son malos.,2: descontento(la teoría neoclásica) | descontento(los monopolios),desaprobacion (Milei->teoria neoclasica) [infer] | aprobacion (Milei->monopolios) [infer] (conf-baja) | desaprobacion (la teoria neoclasica) [infer] (conf-baja),ok
56,"Y en realidad, como diría Murray Newton Rothbard, el inventor del anarco capitalismo, el problema es que el análisis neoclásico está mal.",desaprobacion (Milei->analisis neoclasico) [infer],'el analisis neoclasico esta mal'.,1: frustración(Javier Milei),,ok
57,"Supongamos que tengo 10 empresas compitiendo por hacer teléfonos celulares, y una de ellas descubre una técnica para hacer un teléfono de mejor calidad a un mejor precio, naturalmente hay 9 empresas que van a quebrar.",NINGUNA,Setup de ejemplo.,2: frustración(empresas (colectivo)) | satisfacción(una de ellas (humano),preocupación/temor (empresas) [sost] (conf-baja),ok
58,"Sin embargo, ¿Alguno de ustedes se quejaría por tener mejores teléfonos a un mejor precio?",satisfaccion/ironia (Milei) [infer] (conf-baja),Retorica: nadie se quejaria de mejores telefonos.,1: satisfaccion(ustedes),satisfaccion (audiencia) [infer] (conf-baja),ok
59,"Por lo tanto, fuera la teoría neoclásica.",desaprobacion (Milei->teoria neoclasica) [infer],'fuera la teoria neoclasica'.,0: ,,ok
60,"Entonces, veamos dónde están esos errores de la teoría neoclásica.",NINGUNA (conf-baja),Transicion ('veamos los errores').,0: ,,ok
61,En la versión más simple es porque dicen que el precio del monopolio es mayor que el de la competencia y que la cantidad producida es menor que en competencia.,NINGUNA,Expositiva.,0: ,,ok
62,"Sin embargo, ese análisis es errado porque tiene varios problemas; en primer lugar, porque es solamente un análisis de equilibrio parcial, solo considera el equilibrio en un solo mercado, y no considera el resto de la economía.",desaprobacion (Milei->analisis neoclasico) [infer],'ese analisis es errado'.,0: ,desaprobacion (Milei->analisis neoclasico) [infer] (conf-baja),ok
63,"Es decir, yo tengo el monopolio sobre Javier Milei y ustedes tienen el monopolio de ustedes mismos, sobre cada uno de ustedes, y eso no tiene nada de malo, afortunadamente somos todos distintos, gracias a Dios.",NINGUNA (conf-baja),Pasaje humoristico ('monopolio de uno mismo').,2: frustración(Javier Milei) | satisfacción(ustedes),Satisfaccion (Milei) [infer] (conf-baja),ok
64,"Es más, festejamos nuestras diferencias porque no nos gusta la uniformidad gris del socialismo.",satisfaccion/orgullo (Milei/nosotros) [infer] | desaprobacion (Milei->socialismo) [infer],'festejamos nuestras diferencias... uniformidad gris del socialismo'.,1: satisfaccion(Javier Milei),,ok
65,"Pero no solo está mal por ser un análisis de equilibrio parcial que no considera el resto de los mercados, sino que, además, es tan burdo que no considera los efectos futuros, es decir, el impacto en el futuro de estas estructuras de mercado.",desaprobacion (Milei->analisis) [infer],'tan burdo'.,1: indignación(Javier Milei),desaprobacion/rechazo (Milei->analisis) [infer],ok
66,"De hecho, esto me hace recordar un hermoso libro de un economista y pensador americano, Henry Hazlitt, que se llama, “La economía en una lección”, que decía: “La diferencia entre un buen economista y el mal economista, es que el mal economista solamente mira el mercado en un período, mientras que el buen economista mira todos los mercados y no solo el presente, sino también el futuro”.",admiracion/aprecio (Milei->Hazlitt) [infer],'hermoso libro'.,2: frustración(Javier Milei) | indignación(Javier Milei),,ok
67,"Por lo tanto, esto estaría mostrando que el análisis tradicional del monopolio y por el cual se los regulan, es parte de un mal análisis económico.",desaprobacion (Milei) [infer],'mal analisis economico'.,1: indignación(el análisis tradicio),,ok
68,"Y si, además, tomamos el rol que toman las ganancias como elemento para generar crecimiento económico, además, meterse con los beneficios implica impactar negativamente sobre el crecimiento.",preocupacion/desaprobacion (Milei) [infer] (conf-baja),Impacto negativo de meterse con beneficios.,2: frustración(Javier Milei) | indignación(Javier Milei),,ok
69,"Entonces, la pregunta es: ¿Cuál es la verdadera respuesta, o el verdadero fundamento de este análisis?",NINGUNA,Pregunta retorica.,1: frustración(Javier Milei),,ok
70,"Y en realidad la respuesta no está en el análisis económico, está en la estructura matemática que usa el equilibrio general.",NINGUNA,Expositiva.,0: ,certeza (Milei) [infer] (conf-baja),ok
71,"Básicamente, tiene que ver con el análisis del óptimo de Pareto y el problema de las no convexidades en el conjunto de producción.",NINGUNA,Expositiva.,0: ,,ok
72,"El óptimo de Pareto, para que el equilibrio existente sea óptimo de Pareto, tanto los consumidores como los productores deberían estar maximizando.",NINGUNA,Expositiva.,0: ,,ok
73,Y el problema es que cuando tenemos rendimientos crecientes tenemos funciones de producción convexas y el problema con esas funciones es que no se puede encontrar un máximo.,NINGUNA,Expositiva.,0: ,,ok
74,"Naturalmente, eso es un error matemático también porque si yo tengo rendimientos crecientes puedo encontrar un máximo si utilizo todas las dotaciones de la economía y entonces ahí aparecería otro problema que me quedaría una sola empresa",desaprobacion (Milei) [infer] (conf-baja),'error matematico'.,1: frustración(yo),desaprobacion (Milei) [infer] (conf-baja) | certeza (Milei) [infer] (conf-baja),ok
75,"pero eso que parece algo empíricamente correcto también tiene otro error conceptual porque básicamente implica desconocer la naturaleza de la firma y entre otras cosas, deja de lado el hecho de que las firmas son manejadas por seres humanos y naturalmente cuando ustedes más quieran trabajar para producir más, el costo de oportunidad del tiempo libre crece fenomenalmente.",desaprobacion (Milei) [infer] (conf-baja),'desconocer la naturaleza de la firma'.,1: indignación(Javier Milei),desaprobacion (Milei) [infer] (conf-baja) | certeza (Milei) [infer] (conf-baja),ok
76,De qué le serviría un trabajo de que le ofrezcan 12 millones de dólares al año si ustedes tuvieran que trabajar los 7 días de la semana 24 horas.,NINGUNA (conf-baja),Retorica (12 millones / 24hs).,1: indignación(ustedes),NINGUNA,ok
77,Se van a chocar contra su propia humanidad.,NINGUNA (conf-baja),'chocar contra su propia humanidad'.,1: frustración(Javier Milei),NINGUNA,ok
78,"Sin embargo, el análisis neoclásico trabaja a las firmas como si fueran máquina y no como empresas que dependen, son de los seres humanos.",desaprobacion (Milei->analisis neoclasico) [infer],"'trabaja a las firmas como maquinas, no seres humanos'.",1: indignación(el análisis neoclási),,ok
79,"Finalmente, otras de las críticas que se les hacen a los monopolios es que generan menos cantidades producidas en la economía y eso también es falso porque ese dinero que ganan los monopolistas, evidentemente lo pueden volcar al consumo y generar producción y empleo en otros lugares de la economía.",desaprobacion (Milei) [infer],'eso tambien es falso'.,1: desaprobación(monopolios),desaprobacion (Milei) [infer] (conf-baja) | certeza (Milei) [infer] (conf-baja) | desaprobacion (teoria neoclasica->monopolios) [infer] (conf-baja),ok
80,Ahora vamos a hacer un par de casos que irriten más a los keynesianos.,satisfaccion/ironia (Milei) [infer] | irritacion (keynesianos) [infer/potencial],'casos que irriten mas a los keynesianos'.,1: irritación(keynesianos),satisfaccion (Milei) [infer] (conf-baja) | irritacion (keynesianos) [sost/POTENCIAL],ok
81,¿Qué sucede si esas grandes ganancias las ahorramos?,NINGUNA,Pregunta retorica.,0: ,,ok
82,Ese ahorro se transforma en inversión en otras empresas y eso genera crecimiento del producto y del empleo en otros sectores.,NINGUNA (conf-baja),Expositiva (ahorro->inversion).,0: ,NINGUNA,ok
83,No se pierde nada.,NINGUNA (conf-baja),'No se pierde nada'.,1: tranquilidad(institucional),certeza (Milei) [infer] (conf-baja),ok
84,O supongamos que este monopolista es tan ambicioso que quiere invertir todo en su propia empresa.,NINGUNA (conf-baja),Setup hipotetico (monopolista ambicioso).,1: desaprobación(monopolista),ambicion (monopolista) [expl],ok
85,Tal que todo su ahorro se transforma en inversión.,NINGUNA,'todo su ahorro se transforma en inversion'.,0: ,,ok
86,"Pero esa inversión significa más capital, más productividad, mayores salarios y al mismo tiempo más producción del bien, por lo tanto, baja el precio, por lo tanto, mayores salarios y menores precios, por lo tanto, todo es ganancia de bienestar.",optimismo (Milei) [infer] (conf-baja),Razonamiento economico (inversion->bienestar). Las 9 de q2 son arrastre.,9: desaprobación(el análisis neoclási) | indignación(el análisis neoclási) | desaprobación(firmas) | reconocimiento(empresas) | reconocimiento(seres humanos) | indignación(monopolios) | irritación(keynesianos) | ambición(monopolista) | frustración(ustedes (colectivo)),optimismo (Milei) [infer] (conf-baja) | certeza (Milei) [infer] (conf-baja),ok
87,"Es más, entonces como ya no le podemos encontrar más ataques al monopolista, ya que si consume genera bienestar, ya que si ahorra en el sistema financiero genera bienestar y si ahorra e invierte en sí mismo también genera bienestar.",satisfaccion (Milei) [infer] (conf-baja),'ya no le podemos encontrar mas ataques al monopolista': triunfo argumental.,1: ambición(monopolista),,ok
88,Ahora pensemos que pasa si el “maldito empresario” decide enterrar ese dinero.,NINGUNA,"'maldito empresario' entre comillas = ironia citando la vision socialista, no emocion de Milei. Test de ironia.",1: desaprobación(el maldito empresari),desaprobacion (socialismo) [infer/IRONICO] (conf-baja),ok
89,Así nadie puede acceder a ese dinero.,NINGUNA,'nadie puede acceder a ese dinero'.,1: frustración(Así),,ok
90,¿Qué es lo que va a ocurrir?,NINGUNA,Pregunta retorica.,0: ,,ok
91,Se va reducir la cantidad de dinero en la economía y van a bajar los precios beneficiando a toda la población.,optimismo (Milei) [infer] (conf-baja),'bajan los precios beneficiando a toda la poblacion'.,1: satisfacción(la población),optimismo (Milei) [infer] (conf-baja) | satisfaccion (la poblacion) [sost] (conf-baja) | certeza (Milei) [infer] (conf-baja),ok
92,"Y es más, este empresario tan malo a los que más va a beneficiar son a los que menos tienen porque son lo que se benefician de la deflación.",satisfaccion/ironia (Milei) [infer] (conf-baja),'este empresario tan malo' ironico: el epiteto socialista invertido.,1: esperanza(la población),desaprobacion (socialismo) [infer/IRONICO] (conf-baja) | certeza (Milei) [infer] (conf-baja),ok
93,"Por lo tanto, todo lo que acabamos de ver es que todos los análisis que justifican la intervención lo único que hace es crear más Estado y mayor daño a la gente.",desaprobacion (Milei) [infer] | preocupacion (Milei) [infer] (conf-baja),'crear mas Estado y mayor daño a la economia'.,3: desconfianza(todos los análisis) | desconfianza(el Estado) | preocupación(la gente),desaprobacion (Milei) [infer] | preocupacion (Milei) [infer] (conf-baja) | certeza (Milei) [infer] (conf-baja),ok
94,"Por lo tanto, para cerrar esta presentación, voy a mostrar como la intervención socialista lo que hace es destruir la economía.",desaprobacion (Milei->intervencion socialista) [infer],'la intervencion socialista destruye la economia'.,1: frustración(la intervención soci),desaprobacion/indignacion (Milei->intervencion socialista) [infer] | certeza (Milei) [infer] (conf-baja),ok
95,Y básicamente este ataque que hacen los socialistas es básicamente desde dos puntos de vista.,desaprobacion (Milei->socialistas) [infer] (conf-baja),'el ataque que hacen los socialistas'.,1: indignación(socialistas),,ok
96,"Por un lado está la regulación de los monopolios, que al regular los monopolios quiebra el efecto de los rendimientos crecientes y hacen que las economías se estanquen.",desaprobacion (Milei) [infer] (conf-baja),Regular monopolios quiebra rendimientos crecientes.,2: frustración(el gobierno) | preocupación(el gobierno),,ok
97,Si se regulara bajo el ideal neoclásico la cuasi renta sería cero.,NINGUNA,Expositiva.,0: ,,ok
98,Y por lo tanto estaríamos en un mundo de la competencia perfecta donde no hay incentivos a crecer.,desaprobacion (Milei) [infer] (conf-baja),'no hay incentivos a crecer'.,1: frustración(el gobierno (institu),NINGUNA (conf-baja),ok
99,En el fondo lo que hace es abortar el proceso de destrucción creativa a la Schumpeter.,desaprobacion (Milei) [infer] (conf-baja),'aborta la destruccion creativa'.,1: frustración(el gobierno (institu),,ok
100,Porque estos procesos de destrucción creativa parten de la idea de resolver algunos problemas de la sociedad que les permite más dinero y eso es lo que genera el progreso tecnológico y el crecimiento.,NINGUNA,Expositiva.,1: esperanza(procesos de destrucc),aprobacion (Milei->procesos de destruccion creativa) [infer] (conf-baja),ok
101,"Por lo tanto, si regulo los beneficios, si regulo la ganancia, el problema que voy a tener es estancamiento.",desaprobacion/preocupacion (Milei) [infer] (conf-baja),'el problema sera estancamiento'.,1: frustración(el problema),,ok
102,Al margen de que regular precios y cantidades implica destruir el derecho de propiedad.,desaprobacion (Milei) [infer],'destruir el derecho de propiedad'.,1: frustración(el gobierno (institu),,ok
103,"De hecho, les voy a contar un caso de un país que conozco, llamado Argentina.",NINGUNA (conf-baja),"Transicion ('un pais que conozco, Argentina').",1: determinación(Javier Milei),,ok
104,"Un país que entró al siglo XX siendo uno de los países más ricos del mundo y que sin embargo hoy está 140 en el ranking mundial, con más de 50% de pobres y más de 10% de indigentes.",preocupacion (Milei) [infer] | tristeza (Milei) [infer] (conf-baja),"Decadencia argentina (puesto 140, 50% pobres).",2: frustración(un país) | preocupación(un país),,ok
105,"Y cuando uno mira la cantidad de regulaciones, uno va a entender por qué.",desaprobacion (Milei) [infer] (conf-baja),Cantidad de regulaciones.,1: frustración(el gobierno (institu),,ok
106,"Dentro de nuestros equipos de gobierno, hemos descubierto, por el momento, 380 mil regulaciones que traban el funcionamiento del sistema económico.",desaprobacion (Milei) [infer] (conf-baja),'380 mil regulaciones que traban'.,1: frustración(el gobierno (institu),,ok
107,"Y de hecho, nuestras dos grandes pedidos de medidas, de reformas estructurales, el DNU y la Ley de Bases, propuestas que proponen darle más libertad a los argentinos, ir hacia estructuras de mercado más competitivas y sobre todas las cosas, eliminar la corrupción de la política, nos encontramos con grandes resistencias por parte de los beneficiarios de este sistema decadente",desaprobacion (Milei->casta) [infer] (conf-baja),Reformas trabadas por la casta.,2: resistencia(los beneficiarios de) | frustración(el gobierno (institu),desaprobacion/indignacion (Milei->corrupción) [infer] | optimismo (argentinos) [sost/POTENCIAL] (conf-baja) | resistencia (los beneficiarios de este sistema decadente) [expl],ok
